sphere_type,j,x,y,z,size
current,12,1.691261,1.593336,1.202944,0.100000
current,13,1.038325,-0.049649,1.160960,0.100000
current,14,1.532286,0.281687,0.928085,0.100000
current,15,1.430421,-0.466982,2.703178,0.100000
current,16,1.134794,1.380206,2.345129,0.100000
current,17,-1.996217,-0.558426,1.889737,0.100000
current,18,-0.948315,0.860760,2.536737,0.100000
current,19,0.784102,-1.042443,1.065030,0.100000
current,0,0.272535,-0.176100,1.563135,0.100000
current,1,0.742239,0.614923,2.075115,0.100000
current,2,-0.087736,-0.194153,0.765952,0.100000
current,3,-0.159290,0.967518,1.274234,0.100000
current,4,-1.051540,-0.512052,1.901663,0.100000
current,5,-0.664411,-1.720181,0.692643,0.100000
current,6,-1.345105,-1.681615,1.315579,0.100000
current,7,-0.023942,0.079710,2.564920,0.100000
current,8,0.229193,1.771982,2.920243,0.100000
current,9,0.081879,-1.309357,2.344330,0.100000
current,10,-1.642069,-1.646368,2.473662,0.100000
current,11,-1.084441,-0.432525,0.878724,0.100000
current,12,1.691035,1.593805,1.199922,0.100000
current,13,1.054029,-0.068991,1.163023,0.100000
current,14,1.524312,0.297558,0.933009,0.100000
current,15,1.421820,-0.473632,2.713178,0.100000
current,16,1.140581,1.384301,2.350095,0.100000
current,17,-2.007323,-0.561568,1.879314,0.100000
current,18,-0.943393,0.846442,2.552572,0.100000
current,19,0.772349,-1.042842,1.058328,0.100000
current,0,0.275859,-0.167839,1.561494,0.100000
current,1,0.739782,0.634028,2.060805,0.100000
current,2,-0.078275,-0.198501,0.761273,0.100000
current,3,-0.165612,0.962497,1.275230,0.100000
current,4,-1.063554,-0.493696,1.910070,0.100000
current,5,-0.678652,-1.723396,0.683367,0.100000
current,6,-1.322939,-1.678983,1.326725,0.100000
current,7,-0.007021,0.065002,2.575983,0.100000
current,8,0.207707,1.777946,2.908939,0.100000
current,9,0.079415,-1.326690,2.326484,0.100000
current,10,-1.641842,-1.645425,2.474042,0.100000
current,11,-1.073169,-0.427312,0.880612,0.100000
current,12,1.690847,1.594422,1.197076,0.100000
current,13,1.070190,-0.087979,1.164832,0.100000
current,14,1.514717,0.313618,0.937565,0.100000
current,15,1.413597,-0.480041,2.722649,0.100000
current,16,1.146249,1.388138,2.355381,0.100000
current,17,-2.017839,-0.565015,1.868918,0.100000
current,18,-0.938112,0.831957,2.568431,0.100000
current,19,0.760231,-1.043412,1.051744,0.100000
current,0,0.279552,-0.159197,1.559357,0.100000
current,1,0.736938,0.653382,2.046516,0.100000
current,2,-0.068747,-0.202583,0.756533,0.100000
current,3,-0.171990,0.957616,1.276139,0.100000
current,4,-1.076845,-0.474244,1.918435,0.100000
current,5,-0.693311,-1.726630,0.673685,0.100000
current,6,-1.300748,-1.676407,1.337947,0.100000
current,7,0.010131,0.050214,2.586572,0.100000
current,8,0.186320,1.783936,2.897461,0.100000
current,9,0.077004,-1.343846,2.308460,0.100000
current,10,-1.641822,-1.644517,2.474441,0.100000
current,11,-1.061903,-0.422479,0.882440,0.100000
current,12,1.690734,1.595243,1.194359,0.100000
current,13,1.086781,-0.106607,1.166495,0.100000
current,14,1.503483,0.329609,0.941837,0.100000
current,15,1.405747,-0.486108,2.731620,0.100000
current,16,1.151697,1.391846,2.360942,0.100000
current,17,-2.027920,-0.568651,1.858644,0.100000
current,18,-0.932322,0.817760,2.584139,0.100000
current,19,0.747993,-1.044366,1.045002,0.100000
current,0,0.283391,-0.150162,1.556788,0.100000
current,1,0.733759,0.672832,2.032336,0.100000
current,2,-0.059051,-0.206494,0.751722,0.100000
current,3,-0.178384,0.952916,1.276967,0.100000
current,4,-1.090448,-0.455305,1.926122,0.100000
current,5,-0.708777,-1.729749,0.663647,0.100000
current,6,-1.278402,-1.673053,1.348643,0.100000
current,7,0.027480,0.035226,2.596540,0.100000
current,8,0.165033,1.789945,2.885810,0.100000
current,9,0.074676,-1.360962,2.290387,0.100000
current,10,-1.641956,-1.643634,2.474842,0.100000
current,11,-1.050120,-0.417790,0.884780,0.100000
current,12,1.690795,1.596261,1.191811,0.100000
current,13,1.103779,-0.124879,1.167965,0.100000
current,14,1.490481,0.345589,0.945732,0.100000
current,15,1.398278,-0.491879,2.740143,0.100000
current,16,1.156990,1.395352,2.366837,0.100000
current,17,-2.037541,-0.572498,1.848439,0.100000
current,18,-0.926085,0.803340,2.599851,0.100000
current,19,0.735639,-1.045422,1.038430,0.100000
current,0,0.287706,-0.140727,1.553633,0.100000
current,1,0.730293,0.692997,2.017971,0.100000
current,2,-0.049201,-0.210070,0.746991,0.100000
current,3,-0.184813,0.948394,1.277733,0.100000
current,4,-1.104687,-0.436271,1.933601,0.100000
current,5,-0.725343,-1.732768,0.653261,0.100000
current,6,-1.255991,-1.669125,1.359002,0.100000
current,7,0.045041,0.020030,2.605798,0.100000
current,8,0.143831,1.796016,2.874036,0.100000
current,9,0.072559,-1.378017,2.272232,0.100000
current,10,-1.642230,-1.642693,2.475171,0.100000
current,11,-1.037174,-0.414042,0.888814,0.100000
current,12,1.690908,1.597440,1.189427,0.100000
current,13,1.121148,-0.142818,1.169194,0.100000
current,14,1.475936,0.361159,0.949301,0.100000
current,15,1.391143,-0.497406,2.748233,0.100000
current,16,1.162121,1.398613,2.372949,0.100000
current,17,-2.046752,-0.576572,1.838258,0.100000
current,18,-0.919509,0.788945,2.615573,0.100000
current,19,0.723160,-1.046644,1.032005,0.100000
current,0,0.292273,-0.130992,1.550104,0.100000
current,1,0.726573,0.713344,2.003930,0.100000
current,2,-0.039217,-0.213139,0.742118,0.100000
current,3,-0.191320,0.944054,1.278469,0.100000
current,4,-1.119471,-0.417464,1.940864,0.100000
current,5,-0.742825,-1.735667,0.642882,0.100000
current,6,-1.233452,-1.664965,1.368988,0.100000
current,7,0.062822,0.004661,2.614320,0.100000
current,8,0.122675,1.802025,2.862150,0.100000
current,9,0.070553,-1.394972,2.253969,0.100000
current,10,-1.642556,-1.641741,2.475444,0.100000
current,11,-1.024004,-0.411016,0.893584,0.100000
current,12,1.691109,1.598752,1.187197,0.100000
current,13,1.138819,-0.160468,1.170303,0.100000
current,14,1.459944,0.376113,0.952715,0.100000
current,15,1.384617,-0.502727,2.755843,0.100000
current,16,1.167022,1.401608,2.379230,0.100000
current,17,-2.055571,-0.580832,1.828244,0.100000
current,18,-0.912143,0.774374,2.631285,0.100000
current,19,0.710411,-1.047960,1.025686,0.100000
current,0,0.297329,-0.120810,1.545992,0.100000
current,1,0.722605,0.733808,1.990128,0.100000
current,2,-0.029201,-0.215713,0.737062,0.100000
current,3,-0.197921,0.939814,1.279169,0.100000
current,4,-1.134608,-0.398827,1.947831,0.100000
current,5,-0.761263,-1.738275,0.632477,0.100000
current,6,-1.210779,-1.660372,1.378466,0.100000
current,7,0.080391,-0.010471,2.622311,0.100000
current,8,0.101594,1.808039,2.850132,0.100000
current,9,0.068759,-1.411794,2.235562,0.100000
current,10,-1.642990,-1.640734,2.475643,0.100000
current,11,-1.010904,-0.408323,0.898576,0.100000
current,12,1.691469,1.600184,1.185091,0.100000
current,13,1.156745,-0.177865,1.171304,0.100000
current,14,1.443024,0.390357,0.956020,0.100000
current,15,1.378477,-0.507926,2.763069,0.100000
current,16,1.171744,1.404400,2.385742,0.100000
current,17,-2.063916,-0.585189,1.818393,0.100000
current,18,-0.904447,0.759756,2.647063,0.100000
current,19,0.697391,-1.049355,1.019519,0.100000
current,0,0.302808,-0.110607,1.541502,0.100000
current,1,0.718486,0.754380,1.976534,0.100000
current,2,-0.019159,-0.217984,0.731857,0.100000
current,3,-0.204604,0.935728,1.279852,0.100000
current,4,-1.150056,-0.380379,1.954613,0.100000
current,5,-0.781089,-1.740788,0.622287,0.100000
current,6,-1.187965,-1.655392,1.387394,0.100000
current,7,0.097548,-0.025393,2.629255,0.100000
current,8,0.080624,1.813937,2.837864,0.100000
current,9,0.067189,-1.428674,2.217188,0.100000
current,10,-1.643451,-1.639712,2.475765,0.100000
current,11,-0.997499,-0.406234,0.904129,0.100000
current,12,1.691927,1.601703,1.183119,0.100000
current,13,1.174955,-0.194969,1.172216,0.100000
current,14,1.425572,0.403680,0.959140,0.100000
current,15,1.372814,-0.512942,2.769971,0.100000
current,16,1.176268,1.406915,2.392494,0.100000
current,17,-2.071823,-0.589737,1.808643,0.100000
current,18,-0.896300,0.745276,2.662585,0.100000
current,19,0.684321,-1.050786,1.013536,0.100000
current,0,0.308764,-0.100518,1.536649,0.100000
current,1,0.714151,0.775215,1.963415,0.100000
current,2,-0.009108,-0.220023,0.726629,0.100000
current,3,-0.211407,0.931974,1.280477,0.100000
current,4,-1.165975,-0.362177,1.960960,0.100000
current,5,-0.802029,-1.743171,0.612501,0.100000
current,6,-1.164993,-1.650099,1.395717,0.100000
current,7,0.114267,-0.040226,2.635358,0.100000
current,8,0.059659,1.819784,2.825566,0.100000
current,9,0.065986,-1.445550,2.198784,0.100000
current,10,-1.643873,-1.638644,2.475782,0.100000
current,11,-0.983682,-0.404772,0.910390,0.100000
current,12,1.692546,1.603295,1.181242,0.100000
current,13,1.193371,-0.211861,1.172940,0.100000
current,14,1.407414,0.416217,0.962393,0.100000
current,15,1.367568,-0.517783,2.776537,0.100000
current,16,1.180556,1.409238,2.399403,0.100000
current,17,-2.079358,-0.594410,1.798981,0.100000
current,18,-0.887643,0.730689,2.678155,0.100000
current,19,0.670961,-1.052251,1.007675,0.100000
current,0,0.315178,-0.089995,1.531565,0.100000
current,1,0.709705,0.796167,1.950522,0.100000
current,2,0.000962,-0.221576,0.721163,0.100000
current,3,-0.218207,0.928263,1.281118,0.100000
current,4,-1.182306,-0.344212,1.966924,0.100000
current,5,-0.824013,-1.745256,0.603110,0.100000
current,6,-1.141858,-1.644617,1.403445,0.100000
current,7,0.130548,-0.054903,2.640563,0.100000
current,8,0.038727,1.825507,2.813152,0.100000
current,9,0.064970,-1.462470,2.180408,0.100000
current,10,-1.644397,-1.637520,2.475705,0.100000
current,11,-0.969472,-0.403855,0.917290,0.100000
current,12,1.693292,1.604951,1.179498,0.100000
current,13,1.212085,-0.228429,1.173500,0.100000
current,14,1.389051,0.427812,0.965703,0.100000
current,15,1.362712,-0.522560,2.782770,0.100000
current,16,1.184711,1.411282,2.406375,0.100000
current,17,-2.086599,-0.599275,1.789349,0.100000
current,18,-0.878418,0.716134,2.693463,0.100000
current,19,0.657385,-1.053690,1.002083,0.100000
current,0,0.321831,-0.079824,1.526496,0.100000
current,1,0.705126,0.817257,1.937902,0.100000
current,2,0.011048,-0.222732,0.715492,0.100000
current,3,-0.225043,0.924579,1.281771,0.100000
current,4,-1.199013,-0.326512,1.972634,0.100000
current,5,-0.847393,-1.746927,0.594414,0.100000
current,6,-1.118531,-1.638849,1.410342,0.100000
current,7,0.146563,-0.069453,2.644647,0.100000
current,8,0.017795,1.831159,2.800705,0.100000
current,9,0.064345,-1.479457,2.162076,0.100000
current,10,-1.644994,-1.636352,2.475714,0.100000
current,11,-0.954804,-0.403327,0.925036,0.100000
current,12,1.694172,1.606588,1.177872,0.100000
current,13,1.230874,-0.244913,1.173987,0.100000
current,14,1.370864,0.438527,0.969182,0.100000
current,15,1.358284,-0.527176,2.788663,0.100000
current,16,1.188542,1.413089,2.413498,0.100000
current,17,-2.093441,-0.604215,1.779917,0.100000
current,18,-0.868871,0.701413,2.708700,0.100000
current,19,0.643614,-1.055143,0.996546,0.100000
current,0,0.328683,-0.069844,1.521461,0.100000
current,1,0.700418,0.838442,1.925491,0.100000
current,2,0.021269,-0.223496,0.709602,0.100000
current,3,-0.231898,0.920972,1.282443,0.100000
current,4,-1.216056,-0.308997,1.977900,0.100000
current,5,-0.871117,-1.748237,0.586642,0.100000
current,6,-1.095155,-1.632839,1.416858,0.100000
current,7,0.162242,-0.083747,2.647783,0.100000
current,8,-0.003153,1.836612,2.788198,0.100000
current,9,0.064043,-1.496544,2.143829,0.100000
current,10,-1.645532,-1.635204,2.475484,0.100000
current,11,-0.939806,-0.403215,0.933430,0.100000
current,12,1.695149,1.608201,1.176353,0.100000
current,13,1.249754,-0.261295,1.174387,0.100000
current,14,1.352952,0.448462,0.972746,0.100000
current,15,1.354309,-0.531622,2.794281,0.100000
current,16,1.192174,1.414565,2.420604,0.100000
current,17,-2.099851,-0.609300,1.770539,0.100000
current,18,-0.858855,0.686725,2.723819,0.100000
current,19,0.629785,-1.056512,0.991198,0.100000
current,0,0.335749,-0.060078,1.516586,0.100000
current,1,0.695559,0.859707,1.913275,0.100000
current,2,0.031654,-0.223944,0.703590,0.100000
current,3,-0.238803,0.917365,1.283129,0.100000
current,4,-1.233462,-0.291762,1.982901,0.100000
current,5,-0.895178,-1.749293,0.579934,0.100000
current,6,-1.071707,-1.626448,1.422718,0.100000
current,7,0.177497,-0.097946,2.650037,0.100000
current,8,-0.024104,1.841930,2.775637,0.100000
current,9,0.064167,-1.513773,2.125714,0.100000
current,10,-1.645876,-1.634028,2.474917,0.100000
current,11,-0.924628,-0.403460,0.942311,0.100000
current,12,1.696242,1.609800,1.174926,0.100000
current,13,1.268780,-0.277512,1.174533,0.100000
current,14,1.335665,0.457514,0.976308,0.100000
current,15,1.350667,-0.536011,2.799575,0.100000
current,16,1.195522,1.415696,2.427772,0.100000
current,17,-2.105895,-0.614540,1.761185,0.100000
current,18,-0.848412,0.672006,2.738678,0.100000
current,19,0.615712,-1.057826,0.986138,0.100000
current,0,0.342955,-0.051001,1.512198,0.100000
current,1,0.690654,0.881182,1.901455,0.100000
current,2,0.042008,-0.224032,0.697404,0.100000
current,3,-0.245657,0.913916,1.283840,0.100000
current,4,-1.251210,-0.274760,1.987474,0.100000
current,5,-0.919553,-1.749991,0.574423,0.100000
current,6,-1.048100,-1.619992,1.427822,0.100000
current,7,0.192209,-0.111910,2.651567,0.100000
current,8,-0.045065,1.847046,2.763009,0.100000
current,9,0.064654,-1.531143,2.107741,0.100000
current,10,-1.646199,-1.632903,2.474229,0.100000
current,11,-0.909439,-0.403902,0.951554,0.100000
current,12,1.697418,1.611358,1.173613,0.100000
current,13,1.287863,-0.293662,1.174685,0.100000
current,14,1.318979,0.465813,0.980044,0.100000
current,15,1.347405,-0.540312,2.804669,0.100000
current,16,1.198495,1.416371,2.434810,0.100000
current,17,-2.111568,-0.619907,1.751976,0.100000
current,18,-0.837566,0.657204,2.753298,0.100000
current,19,0.601676,-1.058791,0.981076,0.100000
current,0,0.350150,-0.042332,1.508185,0.100000
current,1,0.685645,0.902328,1.889647,0.100000
current,2,0.052397,-0.223679,0.691170,0.100000
current,3,-0.252457,0.910553,1.284700,0.100000
current,4,-1.269225,-0.257970,1.991782,0.100000
current,5,-0.944170,-1.750427,0.570085,0.100000
current,6,-1.024471,-1.613275,1.432463,0.100000
current,7,0.206654,-0.125763,2.652109,0.100000
current,8,-0.065974,1.852124,2.750280,0.100000
current,9,0.065541,-1.548117,2.090453,0.100000
current,10,-1.646475,-1.631709,2.473351,0.100000
current,11,-0.894110,-0.404690,0.961349,0.100000
current,12,1.698714,1.612808,1.172317,0.100000
current,13,1.307026,-0.309717,1.174578,0.100000
current,14,1.302836,0.473309,0.984002,0.100000
current,15,1.344500,-0.544474,2.809593,0.100000
current,16,1.201280,1.416732,2.441933,0.100000
current,17,-2.116887,-0.625422,1.742924,0.100000
current,18,-0.826325,0.642288,2.767661,0.100000
current,19,0.587794,-1.059618,0.976090,0.100000
current,0,0.357272,-0.034225,1.504574,0.100000
current,1,0.680782,0.923542,1.878141,0.100000
current,2,0.062916,-0.222976,0.684492,0.100000
current,3,-0.259281,0.907211,1.285485,0.100000
current,4,-1.287528,-0.241446,1.995902,0.100000
current,5,-0.968966,-1.750623,0.566910,0.100000
current,6,-1.000773,-1.606460,1.436584,0.100000
current,7,0.220603,-0.139677,2.651765,0.100000
current,8,-0.087003,1.856981,2.737663,0.100000
current,9,0.066813,-1.564524,2.073864,0.100000
current,10,-1.646688,-1.630511,2.472313,0.100000
current,11,-0.878352,-0.405581,0.972130,0.100000
current,12,1.700103,1.614228,1.171145,0.100000
current,13,1.325793,-0.325415,1.174260,0.100000
current,14,1.287268,0.480143,0.988055,0.100000
current,15,1.341955,-0.548496,2.814297,0.100000
current,16,1.203866,1.417037,2.448908,0.100000
current,17,-2.121762,-0.631032,1.734035,0.100000
current,18,-0.814810,0.627299,2.781698,0.100000
current,19,0.573984,-1.060435,0.971315,0.100000
current,0,0.364404,-0.026356,1.501177,0.100000
current,1,0.675771,0.944322,1.867155,0.100000
current,2,0.073586,-0.221874,0.677577,0.100000
current,3,-0.266075,0.903810,1.286339,0.100000
current,4,-1.306003,-0.225282,1.999543,0.100000
current,5,-0.993884,-1.750276,0.564910,0.100000
current,6,-0.977089,-1.599421,1.440392,0.100000
current,7,0.234218,-0.153433,2.650645,0.100000
current,8,-0.108114,1.861564,2.725081,0.100000
current,9,0.068467,-1.580515,2.058258,0.100000
current,10,-1.646824,-1.629313,2.471111,0.100000
current,11,-0.862658,-0.406504,0.983366,0.100000
current,12,1.701608,1.615607,1.170006,0.100000
current,13,1.343653,-0.340432,1.173860,0.100000
current,14,1.272340,0.486369,0.992336,0.100000
current,15,1.339732,-0.552414,2.818761,0.100000
current,16,1.206187,1.417024,2.455774,0.100000
current,17,-2.126209,-0.636701,1.725197,0.100000
current,18,-0.803062,0.612170,2.795459,0.100000
current,19,0.560303,-1.061123,0.966717,0.100000
current,0,0.371343,-0.018660,1.498092,0.100000
current,1,0.670835,0.964908,1.856409,0.100000
current,2,0.084247,-0.220480,0.670713,0.100000
current,3,-0.272694,0.900360,1.287194,0.100000
current,4,-1.324225,-0.209430,2.002964,0.100000
current,5,-1.018863,-1.749719,0.564066,0.100000
current,6,-0.953400,-1.592200,1.443813,0.100000
current,7,0.247449,-0.167039,2.648856,0.100000
current,8,-0.129271,1.865913,2.712491,0.100000
current,9,0.070485,-1.596179,2.043364,0.100000
current,10,-1.646877,-1.628098,2.469747,0.100000
current,11,-0.846810,-0.407644,0.995199,0.100000
current,12,1.703181,1.616866,1.168937,0.100000
current,13,1.360604,-0.354621,1.173522,0.100000
current,14,1.258143,0.492115,0.996787,0.100000
current,15,1.337769,-0.556223,2.823129,0.100000
current,16,1.208258,1.416783,2.462519,0.100000
current,17,-2.130224,-0.642415,1.716413,0.100000
current,18,-0.790892,0.597075,2.808838,0.100000
current,19,0.546712,-1.061680,0.962303,0.100000
current,0,0.378566,-0.011548,1.495430,0.100000
current,1,0.665831,0.985107,1.846143,0.100000
current,2,0.095025,-0.218777,0.663663,0.100000
current,3,-0.279224,0.896941,1.288150,0.100000
current,4,-1.342732,-0.194091,2.005889,0.100000
current,5,-1.043851,-1.748977,0.564355,0.100000
current,6,-0.929784,-1.584547,1.446762,0.100000
current,7,0.260311,-0.180579,2.646219,0.100000
current,8,-0.150389,1.870083,2.699778,0.100000
current,9,0.072854,-1.611405,2.029245,0.100000
current,10,-1.646822,-1.626883,2.468237,0.100000
current,11,-0.830964,-0.408751,1.007719,0.100000
current,12,1.704823,1.618029,1.168014,0.100000
current,13,1.376916,-0.368191,1.172926,0.100000
current,14,1.244576,0.497291,1.001491,0.100000
current,15,1.336134,-0.559914,2.827333,0.100000
current,16,1.210074,1.416217,2.469138,0.100000
current,17,-2.133912,-0.648209,1.707748,0.100000
current,18,-0.778576,0.581761,2.821769,0.100000
current,19,0.533281,-1.062000,0.958119,0.100000
current,0,0.385567,-0.004567,1.493135,0.100000
current,1,0.660888,1.004979,1.836083,0.100000
current,2,0.105985,-0.216856,0.656463,0.100000
current,3,-0.285706,0.893487,1.289158,0.100000
current,4,-1.361123,-0.179178,2.008652,0.100000
current,5,-1.068784,-1.747703,0.565667,0.100000
current,6,-0.907020,-1.576666,1.449440,0.100000
current,7,0.272865,-0.194115,2.642885,0.100000
current,8,-0.171624,1.874038,2.687191,0.100000
current,9,0.075612,-1.626386,2.015736,0.100000
current,10,-1.646647,-1.625670,2.466575,0.100000
current,11,-0.815074,-0.409797,1.020898,0.100000
current,12,1.706528,1.619080,1.167125,0.100000
current,13,1.392332,-0.381106,1.172260,0.100000
current,14,1.231950,0.501988,1.006428,0.100000
current,15,1.334801,-0.563463,2.831413,0.100000
current,16,1.211586,1.415477,2.475534,0.100000
current,17,-2.137229,-0.654002,1.699162,0.100000
current,18,-0.766073,0.566442,2.834270,0.100000
current,19,0.519937,-1.062135,0.954155,0.100000
current,0,0.392537,0.002151,1.491137,0.100000
current,1,0.655805,1.024515,1.826540,0.100000
current,2,0.117012,-0.214696,0.649148,0.100000
current,3,-0.291956,0.890039,1.290241,0.100000
current,4,-1.379455,-0.164697,2.011129,0.100000
current,5,-1.093635,-1.746357,0.568032,0.100000
current,6,-0.885077,-1.568798,1.451940,0.100000
current,7,0.285254,-0.207621,2.638747,0.100000
current,8,-0.192897,1.877749,2.674593,0.100000
current,9,0.078586,-1.640918,2.002827,0.100000
current,10,-1.646366,-1.624423,2.464759,0.100000
current,11,-0.799064,-0.410733,1.034612,0.100000
current,12,1.708344,1.620091,1.166292,0.100000
current,13,1.406854,-0.393482,1.171561,0.100000
current,14,1.220136,0.506282,1.011542,0.100000
current,15,1.333791,-0.566894,2.835409,0.100000
current,16,1.212821,1.414500,2.481746,0.100000
current,17,-2.140203,-0.659806,1.690766,0.100000
current,18,-0.753479,0.551140,2.846283,0.100000
current,19,0.506920,-1.062092,0.950285,0.100000
current,0,0.399481,0.008501,1.489522,0.100000
current,1,0.650729,1.043813,1.817147,0.100000
current,2,0.128074,-0.212479,0.641805,0.100000
current,3,-0.298158,0.886534,1.291298,0.100000
current,4,-1.397496,-0.150875,2.013343,0.100000
current,5,-1.118383,-1.744831,0.571231,0.100000
current,6,-0.863789,-1.560969,1.453975,0.100000
current,7,0.297431,-0.221184,2.633992,0.100000
current,8,-0.214182,1.881340,2.661982,0.100000
current,9,0.081784,-1.655198,1.990542,0.100000
current,10,-1.645975,-1.623204,2.462835,0.100000
current,11,-0.783391,-0.411527,1.048827,0.100000
current,12,1.710206,1.620949,1.165495,0.100000
current,13,1.420613,-0.405323,1.170750,0.100000
current,14,1.209101,0.510192,1.016856,0.100000
current,15,1.333036,-0.570214,2.839321,0.100000
current,16,1.213820,1.413279,2.487801,0.100000
current,17,-2.142852,-0.665583,1.682627,0.100000
current,18,-0.740766,0.535943,2.857856,0.100000
current,19,0.494108,-1.061889,0.946440,0.100000
current,0,0.406302,0.014668,1.488140,0.100000
current,1,0.645799,1.062693,1.808057,0.100000
current,2,0.139200,-0.209949,0.634313,0.100000
current,3,-0.304253,0.883145,1.292448,0.100000
current,4,-1.415364,-0.137486,2.015424,0.100000
current,5,-1.143002,-1.743100,0.575215,0.100000
current,6,-0.843349,-1.552752,1.456136,0.100000
current,7,0.309305,-0.234663,2.628508,0.100000
current,8,-0.235504,1.884601,2.649343,0.100000
current,9,0.085156,-1.669252,1.978711,0.100000
current,10,-1.645517,-1.621998,2.460833,0.100000
current,11,-0.767690,-0.412068,1.063652,0.100000
current,12,1.712094,1.621714,1.164749,0.100000
current,13,1.433642,-0.416493,1.169943,0.100000
current,14,1.198678,0.513938,1.022357,0.100000
current,15,1.332568,-0.573390,2.843151,0.100000
current,16,1.214569,1.411810,2.493600,0.100000
current,17,-2.145246,-0.671291,1.674727,0.100000
current,18,-0.727984,0.520611,2.868924,0.100000
current,19,0.481596,-1.061569,0.942958,0.100000
current,0,0.413039,0.020669,1.486974,0.100000
current,1,0.640993,1.081101,1.799177,0.100000
current,2,0.150454,-0.207308,0.627058,0.100000
current,3,-0.310187,0.879623,1.293582,0.100000
current,4,-1.432992,-0.124637,2.017276,0.100000
current,5,-1.167492,-1.741265,0.579896,0.100000
current,6,-0.823632,-1.544678,1.457951,0.100000
current,7,0.320999,-0.248267,2.622455,0.100000
current,8,-0.256913,1.887621,2.636791,0.100000
current,9,0.088677,-1.683105,1.967304,0.100000
current,10,-1.644975,-1.620779,2.458700,0.100000
current,11,-0.752223,-0.412406,1.079052,0.100000
current,12,1.714032,1.622380,1.164023,0.100000
current,13,1.445951,-0.427140,1.169090,0.100000
current,14,1.188968,0.517412,1.027872,0.100000
current,15,1.332344,-0.576466,2.846916,0.100000
current,16,1.215108,1.410131,2.499201,0.100000
current,17,-2.147314,-0.676962,1.667064,0.100000
current,18,-0.715099,0.505340,2.879416,0.100000
current,19,0.469413,-1.061199,0.939391,0.100000
current,0,0.419645,0.026459,1.486046,0.100000
current,1,0.636282,1.099094,1.790549,0.100000
current,2,0.161861,-0.204766,0.619830,0.100000
current,3,-0.315928,0.876138,1.294772,0.100000
current,4,-1.450396,-0.112160,2.018839,0.100000
current,5,-1.191782,-1.739222,0.585446,0.100000
current,6,-0.804898,-1.536671,1.459780,0.100000
current,7,0.332573,-0.262029,2.615846,0.100000
current,8,-0.278373,1.890440,2.624281,0.100000
current,9,0.092380,-1.696650,1.956445,0.100000
current,10,-1.644353,-1.619581,2.456520,0.100000
current,11,-0.736783,-0.412547,1.094988,0.100000
current,12,1.716068,1.622946,1.163327,0.100000
current,13,1.457565,-0.437275,1.168205,0.100000
current,14,1.179831,0.520639,1.033474,0.100000
current,15,1.332325,-0.579418,2.850619,0.100000
current,16,1.215425,1.408306,2.504515,0.100000
current,17,-2.149140,-0.682534,1.659619,0.100000
current,18,-0.702160,0.490165,2.889425,0.100000
current,19,0.457469,-1.060564,0.935974,0.100000
current,0,0.426194,0.032146,1.485396,0.100000
current,1,0.631630,1.116591,1.782242,0.100000
current,2,0.173205,-0.202077,0.612640,0.100000
current,3,-0.321539,0.872595,1.296093,0.100000
current,4,-1.467377,-0.100268,2.020222,0.100000
current,5,-1.215902,-1.736987,0.591630,0.100000
current,6,-0.786822,-1.528593,1.461585,0.100000
current,7,0.344116,-0.275887,2.608564,0.100000
current,8,-0.299789,1.893014,2.611643,0.100000
current,9,0.096140,-1.709909,1.945939,0.100000
current,10,-1.643638,-1.618403,2.454281,0.100000
current,11,-0.721504,-0.412611,1.111403,0.100000
current,12,1.718093,1.623434,1.162689,0.100000
current,13,1.468400,-0.446870,1.167315,0.100000
current,14,1.171325,0.523749,1.039142,0.100000
current,15,1.332511,-0.582309,2.854370,0.100000
current,16,1.215392,1.406196,2.509555,0.100000
current,17,-2.150697,-0.688036,1.652392,0.100000
current,18,-0.689312,0.475060,2.898970,0.100000
current,19,0.445718,-1.059747,0.932682,0.100000
current,0,0.432592,0.037728,1.484977,0.100000
current,1,0.626919,1.133790,1.774140,0.100000
current,2,0.184531,-0.199383,0.605635,0.100000
current,3,-0.326951,0.869112,1.297340,0.100000
current,4,-1.484094,-0.088932,2.021470,0.100000
current,5,-1.239882,-1.734758,0.598335,0.100000
current,6,-0.769356,-1.520506,1.463299,0.100000
current,7,0.355736,-0.289984,2.600543,0.100000
current,8,-0.321329,1.895401,2.599179,0.100000
current,9,0.099962,-1.723019,1.935829,0.100000
current,10,-1.642855,-1.617190,2.451955,0.100000
current,11,-0.706504,-0.412502,1.127930,0.100000
current,12,1.720174,1.623844,1.162065,0.100000
current,13,1.478554,-0.456168,1.166364,0.100000
current,14,1.163400,0.526714,1.044860,0.100000
current,15,1.332894,-0.585041,2.858110,0.100000
current,16,1.215171,1.404010,2.514443,0.100000
current,17,-2.151964,-0.693376,1.645420,0.100000
current,18,-0.676479,0.460208,2.907903,0.100000
current,19,0.434427,-1.058862,0.929271,0.100000
current,0,0.438839,0.043267,1.484727,0.100000
current,1,0.622397,1.150650,1.766330,0.100000
current,2,0.195975,-0.196762,0.598652,0.100000
current,3,-0.332129,0.865651,1.298556,0.100000
current,4,-1.500439,-0.078055,2.022591,0.100000
current,5,-1.263719,-1.732569,0.605549,0.100000
current,6,-0.752643,-1.512447,1.465196,0.100000
current,7,0.367252,-0.304002,2.592110,0.100000
current,8,-0.342853,1.897580,2.586650,0.100000
